著作id,出版著作名称,著作类别,ISBN号,编辑,出版时间,总字数（万字）,国家/地区,语种,出版社,全文地址,署名单位,归属二级单位编码,归属二级单位名称,其他署名单位,成员信息,校内成员账号
0,金融大数据：大数据与产业链分析,教材,978-756-544-751-8,,2023-01-05,20.0,,中文,东北财经大学出版社,,中山大学,14000.0,管理学院（创业学院）,,陈玉罡（080057）,080057
1,管理沟通（第4版）,教材,978-7-302-62836-1,,2023-03-10,50.0,,中文,清华大学出版社,,中山大学,14000.0,管理学院（创业学院）,,朱仁宏（006543）,006543
2,太阳电池物理与器件,教材,978-7-306-07598-7,,2022-09-10,42.0,,中文,中山大学出版社,,中山大学,76180.0,材料学院,,高平奇（180192）、王子磊（216663）、林豪（227039）、蔡伦（206037）、苏巧（22216257）、唐旱波（21111608）,180192
3,样品制备方法及应用,教材,978-7-122-41884-5,,2023-01-01,49.1,中国,中文,化学工业出版社,,中山大学,31000.0,化学学院,,李攻科（005061）、汪正范、胡玉玲（020125）、肖小华（050184）、胡玉斐（100147）、张卓旻（090055）、夏凌（177268）,005061、020125、050184、100147、090055
4,西周金文字词关系研究,专著,978-7-5325-7977-8,,2016-03-01,38.8,,,上海古籍出版社,,,,,,田炜（110082）,110082
5,政治哲学1,专著,9788937433009,,2016-07-15,32.0,韩国,外文,Minumsa,,中山大学,,,,Jun-Hyeok Kwak（160019）,160019
6,遗传学实验,编著,978-7-306-06952-8,,2020-09-02,19.0,,中文,中山大学出版社,,中山大学,42000.0,海洋科学学院,,李俊（109045）、宁曦（130344）、易梅生（110005）,110005
7,《边陲社会与国家建构》,编著,9789866078811,,2017-05-05,30.0,中国台湾,中文,台湾稻乡出版社,,中山大学,,,,黄永豪、蔡志祥、谢晓辉（210521）,210521
8,憲政からみた現代中国,专著,978-4-13-026158-6,,2018-05-23,25.0,日本,外文,东京大学出版社,,中山大学,,,,孙宏云（005598）,005598
9,杨慎研究文选,编著,9787220112119,,2020-02-01,36.9,中国,中文,四川人民出版社,,中山大学,,,,秦际明（170359）,170359
10,《制造边缘性：10-19世纪的湘西》,专著,978-7-108-07015-9,,2020-10-30,22.0,中国,中文,北京：生活？读书？新知三联出版社,,中山大学,,,,谢晓辉（210521）,210521
11,护理管理学（第4版）,教材,9787117238410,,2017-07-01,59.1,,,人民卫生出版社,,,,,,吴欣娟、张俊娥（019617）,019617
12,全球化视野下的医学人文,编著,978-7-306-06737-1,,2019-12-01,40.0,,,中山大学出版社,,中山大学,,,,程瑜（006545）、姚克勤、何文山、张玲华、邵豪,006545
13,无意识之力：1927-1937年广州报纸社会新闻研究,专著,978-7-5203-0855-7,,2017-09-01,28.0,,,中国社会科学出版社,,中山大学,,,,胡雪莲（070125）,070125
14,韩国首尔国立大学藏同顺泰号文书（10册）,编著,978-7-218-13212-9,,2019-07-01,800.0,,,广东人民出版社,,中山大学,,,,周湘（006535）、柏峰,006535
15,法国理论,译著,978-7-100-17605-7,,2019-09-01,20.0,中国,中文,商务印书馆,,,,,,合田正人、廖钦彬（150013）,150013
16,终身体育：体适能提升与健康促进,教材,978-7-306-06894-1,,2020-08-10,40.0,,中文,中山大学出版社,,中山大学,16300.0,体育部,,屈萍（120226）、张新萍（006556）、李寅（180309）、肖红（100175）、刘靖东（180070）、罗曦娟（150169）、胡晓燕、杨茜（006759）,120226、006556、100175、180070、150169、006759
17,中山大学地球物理学野外综合实习指导书,教材,978-7-306-07003-6,,2020-10-30,6.2,中国,中文,中山大学出版社,,中山大学,,,,侯卫生（070141）、肖凡（140132）、成谷（040073）、徐啸（160270）、李伦（170169）、沈旭章（170168）,070141、140132、040073、160270、170169、170168
18,Diagnosis and Robust Control of Complex Building Central Chilling Systems for Enhanced Energy Performance,教材,978-981-15-0697-0,高殿策,2019-12-01,6.5,,外文,Springer,,中山大学,76160.0,智能工程学院,,高殿策（160188）,160188
19,海洋气象学,专著,978-7-306-06577-3,,2019-03-03,19.6,中国,中文,中山大学出版社,,中山大学,42000.0,海洋科学学院,,邱春华（130304）、李春,130304
20,模态逻辑教程,教材,9787030682932,,2021-03-01,48.8,,,科学出版社,,中山大学,,,,文学锋（120309）,120309
21,广州道教文化,编著,978-7-5188-0631-7,,2018-09-01,33.7,,,宗教文化出版社,,,,,,马永康（100177）,100177
22,基于卫星遥感技术的北极格陵兰自然与人文地理研究,专著,978-7-5210-0687-2,,2020-12-30,8.0,中国,中文,海洋出版社,,中山大学,76230.0,测绘科学与技术学院,,陈卓奇（190215）、程晓（190117）,190215、190117
23,广东制造发展四十年,编著,,,2018-12-01,20.0,,,中国社会科学出版社,,中山大学,,,,张斌（080102）、张宏斌（006890）,080102、006890
24,中国非物质文化遗产保护发展报告（2017）,编著,978-7-5201-1603-9,,2017-10-01,37.6,中国,中文,社科文献出版社,,中山大学,,,,宋俊华（020067）,020067
25,北极海冰遥感反演方法及应用,专著,978-7-5210-0669-8,,2020-12-01,36.0,,,海洋出版社,,中山大学,,,,程晓（190117）、惠凤鸣（190191）、李新情（206047）,190117、190191
26,饮食营养与禁忌,编著,978-7-5046-7570-5/R.2049,,2017-12-01,29.2,,,中国科学技术出版社,,中山大学,,,,葛发欢（140152）,140152
27,日语副词的偏误研究（上）,编著,978-7-5178-4048-0,,2020-12-01,28.6,,,浙江工商大学出版社,,中山大学,,,,徐爱红（020166）,020166
28,我国慈善税收政策研究,专著,9787306062673,,2017-12-13,17.0,,,中山大学出版社,,中山大学,,,,龙朝晖（004774）,004774
29,食品安全社会共治：困局与突破,专著,978-7-03-051193-5,,2017-03-18,45.0,中国,中文,科学出版社,,中山大学,,,,谢康（002048）、肖静华（004763）、赖金天,002048、004763
30,广东省普通高中特色发展研究：经验、问题与政策建议,专著,9787519280048,,2020-11-01,28.8,中国,中文,世界图书出版广东有限公司,,中山大学,,,,朱新秤（006562）,006562
31,Quiet and Loyal Spirit:Commemorating Chinese Australian Mili,编著,978094410900,,2015-09-01,2.0,,外文,New Century Publications Fund Inc.,,中山大学,,,,费晟（120247）,120247
32,原真性与标准化悖论,专著,9787100160636,,2019-01-01,20.0,中国,中文,商务印书馆,,中山大学,,,,曾国军（050149）,050149
33,图书馆权利研究,专著,978-7-80116-987-7,,2011-03-11,44.0,,,学习出版社,,中山大学,,,,程焕文（001372）、潘燕桃（004645）、张靖（080120）、张琦（080148）、燕辉、何燕华、周旭毓、袁晓波,001372、004645、080120
34,农村美好环境与幸福生活共同缔造工作指南,编著,978-7-112-23001-3,,2019-03-01,5.1,中国,中文,中国建筑工业出版社,,其他,,,,李郇（005078）、陈伟、黄耀福,005078
35,2020中国中篇小说年选,编著,9787536093331,,2021-01-01,10.0,,,花城出版社,,中山大学,,,,谢有顺（060026）,060026
36,史家之哲思：张荫麟哲学文存,编著,978-7-301-29344-7,,2018-08-10,42.0,,,北京大学出版社,,,,,,陈润成、李欣荣（120127）,120127
37,维特根斯坦的《逻辑哲学论》,专著,9787561773413,,2010-01-01,33.7,中国,中文,华东师范大学出版社,,,,,,黄敏（050112）,050112
38,健儿消食口服液核心关键技术研究,专著,978-7-306-07154-5,,2021-03-01,34.5,,,中山大学出版社,,中山大学,,,,苏薇薇（006654）、陈婷婷、王永刚（020144）、彭维（069063）、郑玉莹（196540）、姚宏亮（167219）,006654、020144
39,大学体育健康理论与实践,教材,978-7-5644-0722-8,范振国,2017-09-09,24.5,中国,中文,北京体育大学出版社,,中山大学,,,,范振国（014182）、陈卓源、张保华,014182
40,苏格拉底的再次起航,译著,9787561799468,,2015-07-30,18.5,中国,中文,华东师范大学出版社,,,,,,黄敏（050112）,050112
41,孙中山史事编年（第十二卷）,专著,978-7-101-12459-0,,2017-08-20,15.0,中国,中文,中华书局,,中山大学,,,,孙宏云（005598）、庄泽晞（210572）,005598
42,"School Leadership, Citizenship Education and Politics in China: Experiences from Junior Secondary Schools in Shanghai",专著,978-981-10-1643-1,,2016-10-12,10.0,,,Springer,,中山大学,,,,徐淑芹（130332）,130332
43,"Absorption Heating Technologies: Efficient Heating, Heat Recovery and Renewable Energy",专著,978-981-15-0469-3,,2020-05-01,5.68,,外文,Springer,,其他,,,香港理工大学,Wu Wei、Li Xianting、游田（200040）,200040
44,物物连起大世界——物联网的应用与前景,专著,978-7-5359-5596-8,,2011-08-01,6.0,中国,中文,广东科技出版社,,中山大学,,,,胡建国（100170）,100170
45,管理基础,教材,978-7-5218-0201-6,,2019-02-01,17.0,中国,中文,经济科学出版社,,中山大学,,,,龚凯颂（005621）,005621
46,《胎儿颅脑和心脏畸形超声诊断》,编著,978-7-81116-955-3,,2010-10-01,83.0,中国,中文,北京大学医学出版社,,中山大学,50000.0,中山医学院,,郭奕斌（011005）,011005
47,语言的形式、意义与语言学习者,专著,978-7-306-04927-8,,2014-07-01,37.7,中国,外文,中山大学出版社,"#135 Xingang Xi Road, Haizhu District",中山大学,,,,常新萍（006136）,006136
48,中国文化思想录,专著,９ ７ ８ ￣ ７ ￣ ５ ５ ５ ９ ￣ ０ ５ ５ ６ ￣ １,,2018-02-01,51.0,,,河南文艺出版社,,中山大学,,,,胡传吉（100133）,100133
49,Competition for Iron between Host and Pathogen: A Case Study on Helicobacter pylori,专著,9781493966714,,2017-12-01,30.0,,外文,Springer,,中山大学,31000.0,化学学院,,夏炜（140056）,140056
50,广东参与“一带一路”建设蓝皮书（2013-2018）,专著,9787218126999,,2018-10-10,25.0,,中文,广东人民出版社,,中山大学,,,,毛艳华（006571）、荣健欣（177421）、邹嘉龄（186109）、李艳秀（176136）,006571
51,高等药理学,专著,978-7-03-061139-0,,2019-07-01,132.0,中国,中文,科学出版社,,中山大学,36000.0,药学院,,梁思佳（210536）、刘培庆（011093）、李卓明（120280）、路静（200540）,011093、120280、200540
52,医药化学实验,教材,978-7-306-04937-7,,2014-08-01,30.0,中国,中文,中山大学出版社,,中山大学,36000.0,药学院,,周勰（030060）、刘德育（012121）、黄爱东（012025）、叶建涛（050193）、陆明（070164）、叶燕媚（070198）、陈学文（011083）、叶剑清（011122）、钟玖平（100130）、王毅（110178）、刘鹏（006904）、曾飒（011119）,050193、070164、100130、110178、006904
53,《全科医学》(第9版)：第7章预防保健（97-117页）,译著,978-7-117-27231-5,,2018-09-01,285.0,,,人民卫生出版社,,中山大学,,,,王皓翔（150178）、王家骥,150178
54,宇宙奥德赛：穿越银河系,专著,9787302537441,,2019-10-01,28.0,中国,中文,清华大学出版社,,中山大学,,,,王爽（180376）,180376
55,南岭历史地理研究（第三辑）,编著,9787218137629,,2020-01-10,33.5,中国,中文,广东人民出版社,,中山大学,11200.0,历史学系,,谢湜（090026）、于薇（100031）、吴滔（050058）,090026、100031、050058
56,《可持续旅游营销：进展及案例》,编著,9787516417188,,2018-05-01,24.6,中国,中文,企业管理出版社,,中山大学,40000.0,旅游学院,,何莽（110173）,110173
57,Global Justice in East Asia,编著,0367280981,,2020-01-10,11.0,英国,外文,Routledge,,中山大学,,,,Jun-Hyeok Kwak（160019）,160019
58,Perception and production of Mandarin tones by native speakers and L2 learners,专著,978-3-662-44644-7,,2015-03-20,18.0,,外文,Springer-Verlag,,其他,,,University of Wisconsin,杨蓓（180165）,180165
59,南岭历史地理研究（第二辑）,编著,9787218116174,,2017-05-10,22.0,中国,中文,广东人民出版社,,中山大学,11200.0,历史学系,,于薇（100031）、吴滔（050058）、谢湜（090026）,100031、050058、090026
60,民间演剧与戏神信仰研究,专著,978-7-306-06058-7,,2017-05-30,35.0,,,中山大学出版社,,中山大学,,,,陈志勇（130083）,130083
61,社会性别与社会读本,译著,9787542633415,,2010-12-01,38.0,中国,中文,上海三联书店,,,,,,冯芃芃（006205）、郑岩芳（006039）,006205
62,中国新闻业年度观察报告2020,编著,9787511565709,,2020-10-22,30.0,中国,中文,人民日报出版社,,中山大学,17000.0,新闻传播学院,,张志安（110015）、徐桂权（140226）,140226
63,英美文学中的饮食书写,编著,978-7-306-06878-1,,2020-06-30,22.8,,,中山大学出版社,,中山大学,,,,肖明文（170161）,170161
64,《琅玕馆修史图题咏笺释》,编著,9787218108926,,2016-08-01,12.0,,,广东人民出版社,,中山大学,,,,杨权（004073）,004073
65,中国货币市场研究Ⅱ-货币供给与通化膨胀,专著,978-7-5096-3832-1,,2016-01-01,39.5,,,经济管理出版社,,中山大学,,,,王曦（020091）,020091
66,Fundamentals of Network Biology,教材,978-1-78634-508-0,,2018-06-01,50.0,英国,外文,World Scientific Europe,https://doi.org/10.1142/q0149,中山大学,,,,张文军（006052）,006052
67,数字人文：数字时代的知识与批判,译著,9787565435065,,2019-06-01,17.5,,,东北财经大学出版社,,中山大学,,,,韦景竹（060093）,060093
68,信息资源管理的理论与实践,编著,ISBN 978-7-306-03033-7,,2008-04-08,35.0,,,中山大学出版社,,中山大学,,,,程焕文（001372）、潘燕桃（004645）,001372、004645
69,考古地层学原理,译著,978-7-306-07007-4,,2020-12-30,25.0,,中文,中山大学出版社,,中山大学,,,,李宁利（006254）,006254
70,高压流体釜压发泡高性能高分子材料,专著,978-7-03-065793-0,,2020-11-05,31.0,,,科学出版社,,中山大学,,,,翟文涛（180214）,180214
71,"Road Safety in China-Key Facts, Risk Analysis, Policy Impacts in Guangdong, Hong Kong and Macau",编著,978-981-16-0700-4,,2021-04-14,7.6,,外文,Springer,,中山大学,99132.0,粤港澳发展研究院,,张光南（100135）、钟俏婷（197060）,100135
72,数学地球科学,教材,978-7-306-04320-7,,2012-11-05,31.0,中国,中文,中山大学出版社,,中山大学,,,,周永章（006483）、王正海、侯卫生,006483
73,"Algae Biotechnology： Current Status, Potential and Impediments（第一节， 第一章）",编著,9781119143772,,2020-08-11,40.0,,外文,John Wiley & Sons Ltd.,,中山大学,33000.0,生命科学学院,,Sunil Kumar Sahu（156070）、Vaibhav A. Mantri、郑萍（14110473）、姚楠（050061）,050061
74,无人飞行控制技术与工程,编著,978-7-118-07546-5,,2011-08-01,40.3,中国,中文,国防工业出版社,,其他,,,国防科技大学,曾庆华（180195）,180195
75,徐复观杂文补编,编著,957-671-780-9,,2001-12-01,220.0,中国台湾,中文,中研院文哲所,,中山大学,,,,黎汉基（030149）,030149
76,绿色发展理念研究,编著,978-7-5201-7099-4,,2020-07-15,18.7,,,社会科学文献出版社,,中山大学,,,,周永章（006483）、林星雨、伍春丽、唐沐阳,006483
77,鲁迅北京交游研究,专著,7-02-001524-7,,2020-02-05,25.0,中国,中文,北京大学出版社,,中山大学,,,,陈洁（180333）,180333
78,transparency challenges facing China,编著,9780854902606,,2019-01-01,20.0,,,"wildy,simmonds and hill publishing",,中山大学,,,,孙莹（140229）,140229
79,《The Exceptional Potential of General Practice》章节13.3：Perspective from China（189-192页）,编著,978-1-7852-3158-2,,2018-12-13,10.6,,,CRC Press,,中山大学,,,,"王皓翔（150178）、Mercer, SW",150178
80,康德哲学在东亚：在日韩中台的影响作用史,译著,978-4-588-15072-2,,2015-03-01,18.0,日本,外文,法政大学出版局,,中山大学,,,,李明辉、廖钦彬（150013）,150013
81,社会失范与道德实践：吴宓与吴芳吉,专著,7-80659-879-0,,2006-08-01,25.2,中国,中文,巴蜀书社,,中山大学,13000.0,政治与公共事务管理学院,,黎汉基（030149）,030149
82,医学信息技术基础实验指导（第二版）,教材,978-7-03-065491-5,,2020-08-01,23.1,中国,中文,科学出版社,,中山大学,,,,周毅（014179）、蔡永铭、李伟忠（160008）、练伟（014111）、孙小强（140214）、王清、傅蓉、谭定英、刘慧英、刘迅（830912）、王萍（199606）、胡珊（011037）、刘佳、森干、李琳、彭柳芬,140214
83,博弈思维和社会困局,专著,978-7-5096-5468-2,,2018-04-01,29.7,,,经济管理出版社,,,,,,朱富强（020031）,020031
84,旅游学（第四版）,教材,9787040527247,,2019-10-23,37.0,中国,,高等教育出版社,,中山大学,,,,李天元、张朝枝（050113）、白凯,050113
85,日语复合助词的偏误研究（下）,编著,978-7-5178-3427-4,,2019-11-07,29.6,中国,中文,浙江工商大学出版社,,中山大学,,,,徐爱红（020166）,020166
86,等离子体处理固体废弃物技术,专著,9787122301055,,2017-09-01,43.4,中国,中文,化学工业出版社,,中山大学,,,,杜长明（060181）,060181
87,多元LDPC码及其应用,编著,9787560657769,,2020-12-30,25.4,,,西安电子科技大学出版社,,中山大学,,,,赵山程、马啸（040059）、白宝明,040059
88,文学及其所创作的,专著,978-7-5550-0649-7,,2016-09-01,55.0,,,海峡文艺出版社,,中山大学,,,,谢有顺（060026）,060026
89,结肠造口护理与康复指南丛书,专著,9787117237642,,2017-01-30,5.38,,,人民卫生出版社,,,,,,张俊娥（019617）、胡爱玲（830509）、罗宝嘉（183538）、蒋梦笑（760655）、郑美春（860291）,019617
90,基于生态价值共创的自然保护区利益相关者管理研究*,编著,978-7-03-059842-4,,2019-01-01,26.0,中国,中文,科学出版社,,中山大学,,,,刘静艳（006777）、王雅君、陈阁芝,006777
91,"Semiconductor Quantum Science and Technology, Volume 105",专著,9780128237731,,2020-11-25,200000.0,美国,外文,Elsevier,https://www.elsevier.com/books/semiconductor-quantum-science-and-technology/cundiff/978-0-12-823773-1,中山大学,,,,俞弘毅（180103）,180103
92,现代中国文艺的价值转向——毛泽东文艺思想与实践新探,专著,978-7-5097-6125-0,,2015-08-01,36.0,中国,中文,社会科学文献出版社,,中山大学,,,,罗嗣亮（100154）,100154
93,Human Centric Visual Analysis with Deep Learning,专著,978-981-13-2387-4,,2019-11-27,10.0,,,Springer,,,,,,林倞（100002）、张冬雨、罗平、左旺孟,100002
94,主题公园发展：中国案例,专著,9787030668448,,2021-01-01,31.0,中国,中文,科学出版社,,中山大学,40000.0,旅游学院,,保继刚（004495）、梁增贤（120265）,004495、120265
95,会展概论,教材,9787040535594,,2020-09-01,20.0,中国,中文,高等教育出版社,,中山大学,40000.0,旅游学院,,罗秋菊（060138）,060138
96,民国时期营业税制度的变迁,专著,978-7-5201-6508-2,,2020-06-30,28.0,中国,中文,社会科学文献出版社,,中山大学,11200.0,历史学系,,柯伟明（130267）,130267
97,成都市社会企业发展白皮书,编著,978-000-000-000-0,,2021-10-01,20.0,中国,中文,成都市市场监督管理局,,中山大学,14000.0,管理学院（创业学院）,,尹珏林（180130）,180130
98,Treatise on Geomorphology,专著,9780128182345,,2022-03-22,700.0,美国,外文,Academic Press,https://doi.org/10.1016/B978-0-12-818234-5.00030-4,中山大学,74110.0,大气科学学院,,肖智勇（190225）,190225
99,海洋微生物学实验,教材,978-7-306-06709-8,,2019-09-01,20.0,,中文,中山大学出版社,,中山大学,42000.0,海洋科学学院,,贾坤同（120264）,120264
100,多边联盟：形成、治理与演化,专著,978-752-015-259-4,,2019-09-01,33.4,中国,中文,社会科学文献出版社,,中山大学,40000.0,旅游学院,,罗超亮、符正平（004943）、刘冰（120138）、王曦,004943、120138
101,《康养蓝皮书：中国康养产业发展报告（2020）》,专著,978-7-5201-8126-6,,2021-04-01,32.0,中国,中文,社科文献出版社,,中山大学,40000.0,旅游学院,,何莽（110173）、彭菲（217007）、杜洁、沈山、崔永伟,110173
102,社会网络视角下中国企业网络研究,专著,978-7-306-05204-9,,2015-02-01,35.6,中国,中文,中山大学出版社,,中山大学,40000.0,旅游学院,,刘冰（120138）,120138
103,《大洋洲名人录》,编著,978-7-306-04949-0,,2014-07-01,45.7,中国,中文,中山大学出版社,,中山大学,65000.0,国际关系学院,,张宇权（006886）,006886
104,《新时期中国农地制度改革之研究》,专著,978-7-01-017172-2,,2016-12-01,30.0,中国,中文,人民出版社,,中山大学,25000.0,马克思主义学院,,陈淑琼（012057）,012057
105,当代中国价值问题与价值重构,专著,978-7-01-013547-2,,2014-08-20,37.0,,中文,人民出版社,,中山大学,25000.0,马克思主义学院,,吴育林（004036）、黄寿松（050159）,004036、050159
106,广东学校的社会主义先进文化传播与建设研究,专著,978-7-5361-6881-7,,2021-06-22,32.0,,中文,广东高等教育出版社,,中山大学,25000.0,马克思主义学院,,李辉（005419）、黄寿松（050159）,005419、050159
107,马克思主义政治理论研究,编著,978-7-300-21553-2,,2015-06-22,27.0,,中文,中国人民大学出版社,,中山大学,25000.0,马克思主义学院,,钟明华（003969）、黄寿松（050159）,050159
108,广东大企业：税收经济与税源管理研究,专著,9787506883122,,2020-12-01,21.0,,中文,中国书籍出版社和光明日报出版社联合出版,,中山大学,10000.0,岭南学院,,龙朝晖（004774）,004774
109,自然辩证法概论（第二版）,教材,978-7-306-06654-1,,2019-08-01,20.0,,中文,中山大学出版社,,中山大学,25000.0,马克思主义学院,,吴炜（006921）、程本学（012078）、李珍（120191）,006921、120191
110,儿科护理学,教材,978-7-117-23439-9,,2017-06-01,102.1,中国,中文,人民卫生出版社,,中山大学,53000.0,护理学院,,王茜、王玉香、仰曙芬、刘晓丹、肖倩、张玉侠、张利峰（080062）、陈华、陈慧、林素兰、林晓云、罗志民、周乐山、高海霞、崔焱、彭文涛、董玲、蒋小平,080062
111,儿科护理学实践与学习指导,教材,978-7-117-24893-8,,2017-08-01,52.0,中国,中文,人民卫生出版社,,中山大学,53000.0,护理学院,,王茜、王玉香、仰曙芬、刘晓丹、肖倩、张玉侠、张利峰（080062）、陈华、陈慧、林素兰、林晓云、罗志民、周乐山、高海霞、崔焱、彭文涛、董玲、蒋小平,080062
112,粤剧唱腔音乐形态研究,专著,978-7-306-06712-8,,2020-12-01,66.8,中国,中文,中山大学出版社,,中山大学,71010.0,艺术学院,,孔庆夫（190557）,190557
113,粤剧经典唱段赏析教程,教材,978-7-01-023699-5,,2021-08-01,21.1,中国,中文,人民出版社,,中山大学,71010.0,艺术学院,,孔庆夫（190557）、金婷婷（170121）,190557、170121
114,潮汕地区社会工作发展报告,专著,978-7-5201-1553-7,,2017-11-01,23.6,,中文,社会科学文献出版社,,中山大学,23000.0,社会学与人类学学院,,雷杰（120242）、蔡天（16212119）、李学斌（17212537）、黄婉怡,120242
115,广州市海珠区妇联工作改革模式研究,专著,978-7-5491-1795-6,,2018-02-01,9.8,,中文,南方日报出版社,,中山大学,23000.0,社会学与人类学学院,,雷杰（120242）、蔡天（16212119）,120242
116,海洋地质专业作业技能训练,教材,9787562548249,,2020-09-01,2.4,中国,中文,中国地质大学出版社,https://item.jd.com/12821665.html,其他,,,中国地质大学（武汉）,杜学斌、张成、吕万军、姜涛、李祥权、程飞、刘秀娟、刘占红、吕晓霞、廖远涛、陈慧（200028）、雷超,200028
117,统计调查体系与调查方法问题研究,编著,978-7-5037-5487-6,黄诒蓉,2009-06-01,34.0,中国,中文,中国统计出版社,,中山大学,14000.0,管理学院（创业学院）,,黄诒蓉（040080）,040080
118,生态边坡——理论与实践,编著,978-7-112-19339-4,,2016-06-01,80.0,,中文,中国建筑工业出版社,,中山大学,76140.0,土木工程学院,,高旭敏、林鲁生、谢孙园、戴北冰（140129）,140129
119,基础护理技能实训,教材,978-7-5679-1099-7,,2018-07-01,47.0,中国,中文,中国协和医科大学出版社,,中山大学,53000.0,护理学院,,于雯、王凤、王浩东、李瑜、李爱夏、李艳、李雪玲、顾丽艳、吴小婉、苏吉儿、杨晓玮、张利峰（080062）、张正芬、竺静、金晶、赵妤聪、赵秀荷、高婧、魏虹、陈旭珊,080062
120,澳门中小学教育：法律、制度与政策,专著,9787520341523,,2019-10-05,16.6,,中文,中国社会科学出版社,,中山大学,99132.0,粤港澳发展研究院,,曹旭东（130269）,130269
121,香港政党与良性政治：宪制与法律的视角,专著,9789620438462,,2016-01-25,12.0,,中文,三联书店（香港）有限公司,,中山大学,99132.0,粤港澳发展研究院,,曹旭东（130269）,130269
122,Resource Allocation in Backscatter-Assisted Communication Networks,编著,978-981-16-5126-7,龚世民,2021-10-15,15.0,英国,外文,Springer Nature,https://www.springer.com/gp/book/9789811651267,其他,,,北京理工大学,Xiaozheng Gao、Kai Yang、Dusit Niyato、龚世民（190050）,190050
123,中国女排拦防体系的构建与实证研究,专著,ISBN 978-7-5644-3410-6,李铁鸣,2020-12-10,28.1,中国,中文,北京体育大学出版社,,中山大学,16300.0,体育部,,李铁鸣（150053）,150053
124,翻译之镜,专著,9787544785877,,2021-04-10,10.5,,中文,译林出版社,,中山大学,15000.0,外国语学院,,王岫庐（140260）,140260
125,国外翻译理论发展研究,编著,9787521323146,,2021-04-10,12.0,中国,中文,外语教学与研究出版社,,中山大学,15000.0,外国语学院,,王岫庐（140260）、王东风（040067）,140260
126,《康养蓝皮书：中国康养产业发展报告（2019）》,编著,978-7-5201-7425-1,何莽,2020-10-16,38.2,中国,中文,社会科学文献出版社,,中山大学,40000.0,旅游学院,,何莽（110173）、彭菲（217007）、杜洁、沈山、崔永伟,110173
127,俄罗斯文化之旅,教材,978-7-04-047701-6,,2017-11-01,25.8,中国,中文,高等教育出版社,,中山大学,21000.0,国际翻译学院,,郭丽君（160060）,160060
128,英语短篇小说精读,教材,978-7-302-57326-5,,2021-09-01,19.5,,外文,清华大学出版社,,中山大学,21000.0,国际翻译学院,,苏娉（140159）、罗斌（120124）、马津（130215）,120124、130215
129,大学俄语阅读教程,教材,978-5-907442-30-6,,2021-09-14,50.0,俄罗斯联邦,外文,托木斯克国立大学,,中山大学,21000.0,国际翻译学院,,郭丽君（160060）,160060
130,高分子加工原理与技术,教材,978-7-122-20047-1,,2014-05-01,61.0,中国,中文,化学工业出版社,,中山大学,31000.0,化学学院,,王小妹（004589）、阮文红（040195）,040195
131,"Dynamics, Uncertainty and Reasoning",编著,978-981-13-7791-4,,2019-07-24,20.7,,外文,Springer,https://link.springer.com/book/10.1007/978-981-13-7791-4,其他,,,浙江大学,廖备水、Thomas Ågotnes、王轶（200087）,200087
132,"Context, Conflict and Reasoning",编著,978-981-15-7136-7,,2020-08-21,16.7,,外文,Springer,https://link.springer.com/book/10.1007/978-981-15-7134-3,其他,,,浙江大学,廖备水、王轶（200087）,200087
133,Logic and Argumentation,编著,978-3-030-89390-3,,2021-10-15,55.2,,外文,Springer,,中山大学,72110.0,哲学系（珠海）,,Pietro Baroni、Christoph Benzmüller、王轶（200087）,200087
134,逻辑、博弈与计算——社会网络平衡研究,专著,978-7-214-26354-4,,2021-08-31,21.8,中国,中文,江苏人民出版社,,中山大学,72110.0,哲学系（珠海）,,王轶（200087）,200087
135,《中国民族民间音乐赏析教程》,教材,978-7-306-07085-2,,2020-12-01,27.4,,中文,中山大学出版社,,中山大学,71010.0,艺术学院,,胡妍璐（199668）、金婷婷（170121）、陈柏安（199667）,170121
136,葫芦丝、巴乌、萧演奏基础教程》,教材,978-962-215-001-0,,2021-09-01,20.1,中国,中文,中山大学出版社,,中山大学,71010.0,艺术学院,,金婷婷（170121）,170121
137,《中国古代声乐美学思想史论》,专著,978-7-216-10199-8,,2021-04-01,19.7,中国,中文,湖北人民出版社,,中山大学,71010.0,艺术学院,,鲁勇、金婷婷（170121）,170121
138,泥火山发育特征与形成机制,专著,978 7 5114 6457 6,,2021-09-20,23.6,,中文,中国石化出版社,,中山大学,42000.0,海洋科学学院,,万志峰（120202）、钟思玲（18213952）、李清、张伟、王宏斌,120202
139,分布式计算实验教程,教材,9787111361190,,2012-01-01,3.53,中国,中文,机械工业出版社,,中山大学,67000.0,计算机学院（软件学院）,,万海（006760）、李文军（004973）、周晓聪（005875）、李师贤（000538）,006760、004973、005875
140,国家金融体系结构,编著,978-7-306-07294-8,,2021-10-31,30.0,,中文,中山大学出版社,,中山大学,41000.0,国际金融学院,,王彩萍（060140）、张龙文（196716）,060140
141,融合：解决科技与经济“两张皮”的体制机制创新,专著,978-7-03-066952-0,,2021-09-01,47.0,,中文,科学出版社,,中山大学,41000.0,国际金融学院,,李善民（005327）、王彩萍（060140）,005327、060140
