专家id,专家账号,专家姓名,职称,单位,一级学科,二级学科,三级学科,研究方向,论文,项目,知识产权,奖项,其他成果,已对接需求,团队id,category_id
1712,105513,胡晓莉,主任医师,附属口腔医院,,,,无,40821,5325、16476、25274、28635、28957,,,,,2361,51
1713,153072,何锦园,医师,附属第三医院,,,,无,,7666、18215,,,,,1127,51
1714,153519,顾海风,主治医师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,,,无,30512,5254、7594、8763,,,,,4479,51
1715,153542,蒋小兵,主治医师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,,,,113、513、3606、4644、26644、27191、29995、34722、36658,2396、5257、10557、13798、16398、16921、17538、18489、23320、51543,2032、5440、6442,,,,16,51
1716,154228,庄士民,主治医师,附属第六医院,,,,无,,7634、16163、21964、22539、23435,,,,,1128,51
1717,154244,谢晓煜,医师,附属第六医院,,,,无,21138、41295,18478、22520,,,,,125,51
1718,154269,林琳,主治医师,附属第六医院,,,,无,26822,7376、14668、15092、15945、19144,,,,,1179,51
1719,154278,吴良才,副主任医师,附属第六医院,,,,无,,7639、7784,,,,,1129,51
1720,155515,李耀银,副主任医师,附属口腔医院,,,,无,,11702、17415、19185,,,,,1130,51
1721,803022,王奕晖,副主任医师,附属第六医院,,,,无,,13863、41081,,,,,1131,51
1722,803122,陈姗,副教授,附属第六医院,,,,无,,29534、34171、38428,,,,,1132,51
1723,803156,王玲玲,副主任医师,附属第六医院,,,,无,,25396、29032,,,,,1133,51
1724,804014,陈穗珍,主管护师,附属第六医院,,,,无,,,,,,,1134,51
1725,804058,邓露雪,主管护师,附属第六医院,,,,无,,41081,,,,,1135,51
1726,080134,陈融融,讲师（高校）,管理学院（创业学院）,,,,,,29450,,5518、6397、6782、7052、8496,,,1136,135
1727,082008,周泉波,副主任医师,孙逸仙纪念医院,,,,无,25152,523、8828、22594、23955、24877、26122、27977、32674、36302、36303、36987、38764、39816、40418、40507、40508、42615、45197、45480,,,,,1137,51
1728,130001,杨崧,教授,大气科学学院,地球科学,大气科学,气候学,区域与全球气候变化、全球季风,698、1845、2138、2139、2355、2363、2370、2380、2381、2382、2846、3784、3787、4266、4270、5854、5855、5856、5857、5858、5859、5862、5863、5864、5865、5866、5867、5868、5869、5871、6581、7264、7268、7269、7284、7305、7306、7308、7309、7310、7311、7312、7313、7314、7315、7316、7318、7320、7321、7322、7323、7324、7325、7329、7342、7343、7344、7353、7378、7379、7380、7381、7382、7383、7384、7389、9032、9033、9046、9051、9056、9059、9060、9195、9196、9197、12394、13961、13972、14299、14302、14303、14304、14305、14306、14308、14309、14319、14320、14321、14324、14355、14894、15112、17645、17962、18534、18598、18599、19606、19608、20537、24463、24574、24825、24973、25223、25836、25980、27095、27108、27170、27217、27507、28797、29382、29440、29794、29846、30109、30442、31767、32154、32179、32488、32592、32634、34028、34190、34720、35384、35525、35720、35757、35760、35937、35981、35982、36067、36563、36639、36906、36909、37798、38407、38524、39144、39231、39245、39336、39391、39486、39575、39953、40055、40226、40365、40400、40992、41045、41379、41386、41404,359、364、2238、7112、8070、8259、8260、8623、9455、9469、10719、10764、12326、12394、12472、15134、15516、17909、18447、18468、18642、18668、18824、19565、20047、20138、20670、21433、21454、24287、24786、24904、26990、27130、28169、28208、28777、29269,,1495、1977、2322、2654、2804、3639、3879、3947、4339、5908、6045、6972、7110,507、508、1039、1081、1344,352、1089、2592、2894、3691,6593,141、140
1729,130114,林娜,研究实习员（高教系列）,教育发展与校友事务办公室,,,,,,24436、25046、28852、29193、29248,,72、73、74、75、3975、4598、7221、8353,,,1138,144
1730,130124,王敏丽,讲师（高校）,纪委、监察专员办,,,,,,2520、14659、14806、14816、14820、15949、15950、15953、18714,,1759、3713、4077、4488、4677、4794、5306、5488、5658、6370、6872、6954、7629、7722、7992、8091、8922、8972、9237、9258,,,1139,144
1731,130251,苏宁,副教授,数学学院,数学,,,有限群论,6079、6149、25595、27676、31796、36181、37153、38717、38821、38822、38827、39873、40560、41047、41172、41183、41231、41258,999、9413、22257、22518、24177、25088、25688、25701,,,,,1140,136
1732,130256,郑义,教授,地球科学与工程学院,地球科学,地质学,矿床学与矿相学(包括放射性矿床学，不包括石油、天然气和煤。),矿床学,6667、6668、6669、6672、6673、6674、6675、6676、6677、6678、6679、6680、6681、6682、11862、15916、16208、16292、16756、16760、16769、29087、29602、32674、38918、41714、44372、44994、45025,1141、1279、2287、2683、6087、7126、7170、8787、9600、9809、12595、13162、13220、13262、13313、14371、15349、17124、18040、19435、19617、21466、22460、24294、25059、25122、25230、26072,,985、2009,,1118、1978、3027、4537,1141,130
1733,131120,谭年娣,医师,附属第一医院,,,,内镜中心,434、476、477,12430、22172、23397、23830、25332、25604、25606、25617,,,,,1142,51
1734,131136,彭芳,主治医师,附属第一医院,,,,放射治疗科,,1885、9907、18964,,,,,1143,51
1735,140001,李义平,教授,中山医学院,生物学,分子生物学,,病毒学,1045、4665、4666、4667、4668、4669、4670、4671、4672、4673、4674、4687、4690、11513、16511、16512、16513、16521、16522、16523、16524、16525、16526、16527、16528、24963、26953、30760、31347、31455,38、408、5739、6647、7155、7163、9555、11943、15742、18320、20842、21361、24039、24346、25843、26792、36724、51407,,,,2972,3328,51
1736,110079,顾菁,教授,公共卫生学院,预防医学与公共卫生学,预防医学与卫生学其他学科 ,,行为健康，卫生统计，艾滋病，全球卫生,1276、1278、1305、1306、1336、2762、2766、5494、5495、5499、5501、5504、5505、5507、5508、10556、10569、10571、10573、10580、10953、10954、10955、10956、10958、10959、10961、10962、10964、10965、10967、10968、10971、10975、10976、10978、10979、10982、10984、13212、16276、16322、16553、19509、19511、22010、22244、22245、22333、22334、22346、22358、22362、22649、22650、24950、28771、29266、35417、36132、36939、38307、38728、40761、42317,641、866、867、2266、5740、8415、8730、9353、9424、9881、13649、14544、14719、16201、16463、18238、18332、20454、21206、21539、21544、21803、24604、24672、24773、24815、26056、27429、29914、36804、39012、49460、49760、49932、50026、50116、50331、50480、50620、50751、50894、50959、51210、51490、51547、51660、51733、52106、52109、52483,,300、1026、1065、1868、1869、1871、5157、5293、5669、6528、7881、8170,280、1295、1548、1960、1992,279、601、809、1342、1383、1516、1781、2390、2896、3117、3214、3370,2893,49、51、47
1737,110145,於梅舫,教授,历史学系,历史学,中国近代史、现代史,戊戌政变史,清代以来的学人与学术,24460、31997、32283、32959、33123、33793、34427、34593、36779、37197,2432、11497、20335、28424、28878、29974、31681、32588,,2889、2890,2040,,1144,118
1738,110181,黄洁虹,讲师（高校）,科学研究院,生物学,,,,14626、26676、30223、33553、36063、36074、39611、39665、39681、40211、40395、41397,18846、19195、19920、24323、25191、26368、29337、29797、30957、32978、33614、34841、35507、37770、37822、50753,,,,278,5285,144
1739,111055,陈雁扬,医师,附属第一医院,,,,病理科,4826,10392、17668,,,,,1733,51
1740,112003,郝少云,副主任医师,孙逸仙纪念医院,,,,无,,22599、25894、42540,,,,,1145,51
1741,150014,虞志益,教授,微电子科学与技术学院,电子与通信技术,半导体技术,集成电路技术,集成电路设计、处理器设计,1640、1642、16958、17965、20679、20681、24157、24158、24194、24208、24350、25457、26397、26407、31813、31928、37563、37865、38323、39864、40125、44641、45579、45836、46363、46382,25、159、6978、7554、8069、8339、9360、12942、13232、13256、15659、19418、49446、51352,959、960、961、962、963、2952、2953、4644、4694、5079、5148、6209、6528,3320,1905,2404、3178、3447、3937、4277、4284、4587,7086,21、22、42
1742,150038,凌家杰,教授,物理学院,物理学,高能物理学,粒子物理学,中微子物理,2789、2790、2791、2792、14762、18804、20465、29613、30632、31390、38752、39139,667、1106、9615、9735、15091、15289、15502、16658、17946、18079、18458、18665、19259、50622,,4202,,,5497,137
1743,133786,杨云鹏,副主任医师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,,,无,309、741、746、800、801、6575、15183、15187、15238、30476、37330、38145、40073、40868,8872、17404、22097、23834,,,,,3683,51
1744,121168,蒋小丽,主管护师,附属第一医院,,,,神经外科ICU,,,,,,,1146,51
1745,815298,陈芸梅,主管护师,附属第一医院,,,,口腔颌面外科,,,,,,,1147,51
1746,815440,杜合英,主任护师,附属第一医院,,,,消毒供应中心,,31778,,,,,1148,51
1747,815491,朱杏花,副主任护师,附属第一医院,,,,医院感染管理科（疾病预防科）,,,,,,,1149,51
1748,815623,黄婉兰,主管护师,附属第一医院,,,,护理部,,37016,,,,,1150,51
1749,815669,骆春启,主管护师,附属第一医院,,,,妇产科门诊,,,,,,,1151,51
1750,113078,陈正,主治医师,附属第三医院,,,,无,15130,7386、7668、22901、25432、29039,,,,,1152,51
1751,143010,姚嘉,主治医师,附属第三医院,,,,无,15344、22531、24862、28585、30708、37505、38309、45600、46114,6571、8230、9916、11164、12507、13028、13482、14706、15011、15056、19097、23413、25668、25680、51714,,,,,1037,51
1752,143527,刘伯基,助理研究员,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,,,无,32961、43065、43075,4625,,,,,3770,51
1753,006380,刘岚,教授,海洋科学学院,化学,有机化学,天然产物有机化学,海洋天然产物,295、992、993、3501、4347、5071、6050、6084、8141、9213、11801、15072、15149、16661、18670、19371、19667、19685、19695、19699、19700、19879、19881、19896、20063、20553、21341、25241、25426、26816、26888、26889、28635、29695、29824、31320、31462、31639、31741、43395、43411、45337,3295、4592、7122、8228、8314、9483、9570、10633、10763、10770、12917、13237、14887、20138、20139、20380、21012、21778、22984、23465、24127、27069、27347、28913、28921、30614、32240、32678、32733、33221、35028、35206、35396、35634、36436、36480、37682、39476、39668、39763、41506、41590、41615、41676、42553、43554、44329、47190、47256、47734、48584、49022、49061、50413、50606、51628、51740,26、27、160、204、339、1414、1420、1421、1477、1672、1673、2005、3138、3818、4192、4326、5553、5583、5670、6105、6123、6230、6328,,636、691,264、3873、4156、4671、5331,1154,141、90
1754,160023,张玉芝,教授,地球科学与工程学院,地球科学,地质学,大地构造学,岩石大地构造,6665、6666、6668、6673、6684、6687、6688、6689、6690、6692、6694、6695、12006、12072、16280、16462、16463、16464、16465、16466、23183、23203、24095、25767、25933、26691、26922、26995、27235、27309、27929、29672、29962、30016、36923、37614、38543、40222、41453、41670、41671、41672、41673、41674、41675、41676、41677、41678、41685、41690、41691、41692、41693、41694、41695、41712、41713、41714、41715、41716、41717、41718、41719、41725、41728、41729、41730、43465、43885、43919,430、759、2278、2905、6104、7126、7170、9600、10254、12097、12595、13220、14237、15349、15858、17124、17972、18086、19489、19860、19906、25230、50538,,985、1232、1237,,,5997,130
1755,160265,熊小峰,教授,药学院,药学,药物化学(包括天然药物化学等),,药物设计与手性药物合成方法研究,6449、6878、6879、6886、6887、6888、6900、6910、6911、6913、6914、6915、6916、6917、6922、6923、7630、7635、7637、10366、13776、13779、13794、16053、16647,3257、3270、9191、9778、10137、10207、10709、10800、12918、14640、15087、19313,1695、1699、2141、2173、2562,,,4506,823,45
1756,160270,徐啸,副教授,地球科学与工程学院,地球科学,固体地球物理学,地球内部物理学,地球物理学,8824、11997、12001、36391、37745,2071、2219、2447、9601、12095、13635、15300、15698、17938、18380、18559、19337,,,24,3307,108,139
1757,170016,伍沛然,副教授,电子与信息工程学院（微电子学院）,,,,移动无线通信,16872、16873、16898、16899、19807、24125、25091、26655、31500、35698、45613、45627,7121、9412、9608、10758、12542、12906、13004、13098、14209、15129、51266,297、1228、1230、4656、5206、5708,1554,880,,1155,30、42、26
1758,170192,苗波,副教授,法学院（知识产权学院、中英国际海事法学院）,法学,部门法学,环境法学,环境资源保护法学,21634、25803,7116、7561、9604、13494、13644、51875,,23、2078、2786,,2545、3897、4824,6495,141
1759,813079,洪晓丹,主管药师,附属第一医院,,,,药学部,,28808、31565、42064、45205,,,,,1156,51
1760,814025,陈惠珍,副主任技师,附属第一医院,,,,血液内科,,25296、28054、30100、42367、42482、42516、43744、45025、45447,,,,,1157,51
1761,814042,孙艳虹,副主任技师,附属第一医院,,,,医学检验科,436、441、443,33757、36165、44192,,,,,1700,51
1762,020063,张均,教授,中国语言文学系,文学,中国现代文学,,当代文学,17745、17748、17752、17768、17771、17772、17774、17777、17866、17871、17895、17900、17907、31855、33340、33430、33963、34029、34715、35318、35379、36467、37446,5840、6776、8066、19597、19801、26169、31813、35673、36637、37968、41004、41716、47304,,505、5209、6264、8788,487、1585,,1158,117
1763,020144,王永刚,副教授,生命科学学院,药学,药物化学(包括天然药物化学等),,天然产物研究,1513、1681、1683、1684、1685、1687、1689、1690、1691、1692、1693、1694、1695、1696、1697、1698、1699、1700、1701、1702、1703、1704、1709、1715、1716、1717、1718、1719、1720、1721、1722、1723、1724、1725、1726、1727、1728、3295、3298、3301、3354、3357、6178、7026、7027、7028、7029、7030、7031、7035、7036、7037、9706、10463、10554、18237、24355、24376、24424、25290、26312、29271、30629、31587、31607、32349、32761、35095、35135、35150、35489、36345、36991、40916、41473,1367、1792、4045、7056、7173、8074、9479、10663、10817、12312、14664、14860、15444、15446、15541、15833、17033、18694、23098、23116、23306、24585、26153、26264、26265、26702、26853、26865、27054、27110、27173、27378、27381、28300、28383、28497、28785、29280、29490、29967、30180、30219、31103、31825、32108、32180、32233、32238、32241、32990、33112、33239、33271、33569、34352、34353、34525、34697、34820、34868、34964、35148、35219、35220、35221、35222、35863、36508、37158、37530、37615、37667、38025、38465、39091、39221、39233、39235、39582、39912、41405、41582、41729、42013、42904、43494、43609、43615、44113、45085、45138、45283、45307、45934、45962、46046、46268、46297、46315、46456、46643、46661、46675、46755、46801、46865、47005、47349、47508、51057,144、155、157、305、590、591、2942、3733、3734、3735、3736、3737、3738、3739、3740、3741、3742、3763、3764、3765、3766、4473、4681、4734、4799、4854、4887、5082、5255、5272、5357、5513、5524、5539、5733、5739、5995、6139、6211、6333,432、764、1366、3942、4410、4540、4992、6143、6319、6365、6744、6974、7368、7670、8661,50、433、447、448、450、563、1008、1010、1011、1012、1013、1647、1672、2006、2015、2277,80、169、384、531、703、1276、1565、1800、1818、1886、2825、2852、3079、3098、3242、3563、3771、3806、3908、4184、4217、4276、4437、4441、4569、4584、4674、4968、4973、4976、4977、5162、5291,4736,45、90、51
1764,030001,刘灵燕,助理研究员（自然科学）,电子与信息工程学院（微电子学院）,,,,,,1962、10797、30066、32001、32163、35350、40308、40317、41669、44443、44538,,3458、4338、4933、5161、6489、6984,,,1159,83
1765,110128,汪林,教授,管理学院（创业学院）,,,,组织行为学、人力资源管理与战略管理,6550、6551、6552、6553、6771、17118、17119、17120、25596、25625、25641、25648、26966、27680、28382、29001、29945、31175、32209、33886、39265、42450,9059、10047、17220、19806、21775、22343、26826、27357、27703、28216、28269、28348、30856、31851、31854、33071、33369、33605、34721、35033、35034、35443、35473、35537、35687、35799、37598、37695、37796、37883、37884、38557、39843、52296,,1899、5454、7504、7667、9153,,780、4556,3230,132
1766,150001,刘峰,副教授,生命科学学院,生物学,生物化学,多肽与蛋白质生物化学,蛋白质组学,3599、14452、16419、23268、30647、37011、41661、43750,9154、10355、14178、14282、14390、15420、15702、17979、18439、18562、18755、20343、20583、21116、21426、22297、22382、50429,524,1211、2938、2939,,121,3328,143
1767,720035,莫春玲,主管护师,孙逸仙纪念医院,,,,无,,,,,,,1160,51
1768,083559,孔令亨,主治医师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,肿瘤学,,无,142、787、791、24844、30471,9589、9831、20516、21535、22093、22704、23315、31038、31266、32789、33973、39121、40523、42636、43959,,,,,2858,51
1769,083567,陈春燕,主治医师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,临床医学,肿瘤学,肿瘤治疗学,,,25523,,,,,1161,51
1770,123719,刘晓华,主管技师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,,,无,,,,,,,1162,51
1771,123736,陈磊,主治医师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,,,无,779、12783、19497、24837、28486、31371、38096、38763,7610、8732、12474、13026、19117、19125、20159、21351、21795、27850、27864、27873、29011、29587、30330、31143,,,,,66,51
1772,123765,郭晋,主治医师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,,,无,,30642,,,,,1163,51
1773,123772,张静,主任医师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,,,无,,27885、27932、27965、27987、27991、28098,,,,,1164,51
1774,124024,张晓娜,主治医师,附属第六医院,,,,无,,29030,,,,,1165,51
1775,123734,王俊,主治医师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,,,无,16628、16629、29378、29615、38159,27521、31000,,,,,6028,51
1776,124030,曹务腾,主治医师,附属第六医院,,,,无,13575、21138,8775、11230、22526、25687、28136、29824,,,,,125,51
1777,124072,陈靖,主治医师,附属第六医院,,,,无,,,,,,,1166,51
1778,124091,刘智敏,医师,附属第六医院,,,,肛肠外科,28438,10189、10422、10613、21135、22523、22711、23442,,,,,3502,51
1779,124117,曹黛茵,医师,附属第六医院,,,,无,,,,,,,1167,51
1780,124472,张湘民,教授,附属第六医院,,,,无,3608、31059、31124、33531、35831、36098、36131、37003、37726、37731,13272、23302、24557,,,,,1168,51
1781,720276,陈月桂,主管技师,孙逸仙纪念医院,,,,无,,,,,,,1169,51
1782,804142,童新明,主管护师,附属第六医院,,,,无,,,,,,,1170,51
1783,811212,黄婉霄,研究实习员,附属第一医院,,,,特需医疗与健康管理中心,,,,,,,1171,51
1784,811215,吴金泉,助理研究员,附属第一医院,,,,老干科,,29435,,,,,1172,51
1785,812130,黄代营,副主任医师,附属第一医院,,,,口腔颌面外科,,14684、24010、24855、28047、32752、33401、33403、35578、38185、38592、39911、42083,,,,,1173,51
1786,812283,朱森林,主任医师,附属第一医院,,,,消化内科,,10585、15212、34028、34284、36173、38808、47578,,,,,1174,51
1787,812318,罗红鹤,教授,附属第一医院,,,,胸外科,327、27104、27663、29321、29568,19693、21941、28077、30452、38175、38691、39194、40116、40123、40154、40173、40723、41070、42385、44229,,,,,1416,51
1788,160358,黄维妮,教授,生命科学学院,,,,理论生物学，计算生物学,,959、6243、10878,,,,,1175,143
1789,162037,蔡志清,医师,孙逸仙纪念医院,,,,无,2026、2027,518、2823、49421、49748、51154,,,,,1176,51
1790,721347,郑欢琦,医师,孙逸仙纪念医院,,,,无,,,,,,,1177,51
1791,060113,顾凌云,助理研究员（社会科学）,审计处,,,行政法学,,,,,,,,1178,148
1792,060116,刘勇,教授,材料科学与工程学院,,,,纳米能源材料,3161、3162、3163、3164、3165、3166、3167、3168、22214、24549、27516、28284、29075、29883、30266、32022、37053、39384、40451、41161、41275,3643、12754、16660、19228、19819、20628、22873、26189、28693、30265、30876、31906、32103、32475、34896、35183、35474、36474、37172、37346、37513、39286、41820、42795,652、4385、6175,,,,721,68
1793,144167,高羽,副主任医师,附属第六医院,临床医学,,,无,26822、38936、42503、43778、46201,18481、19144、19674,,,,,1179,51
1794,144178,李晶洁,主治医师,附属第六医院,,,,无,42459,631、2162、16981、19153、20840、22165、23449、23873、23877、25698、25700,,,,,6028,51
1795,144218,陈双,教授,附属第六医院,,,,无,,8748,4066、4719,,,,1180,51
1796,145508,陈建宇,主治医师,附属口腔医院,,,,无,,2214、14084、16938、18146、20550,,8666,,,1181,51
1797,004734,曹建劲,教授,地球科学与工程学院,地球科学,地质学,矿床学与矿相学(包括放射性矿床学，不包括石油、天然气和煤。),纳米地球科学、岩石学、矿床学,6627、6628、12999、13000、13001、13005、25010、25161、26796、27166、27227、27246、28252、28574、29040、29601、30086、31583、31730、31756、32340、32870、32876、33162、33277、33541、34047、35056、35068、37796、38642、38673、40015、40238、40329、45714、45720、46294、46339,14381、17157、25152、27036、29260、29380、29772、32301、35331、37784、37785、39836、41516、41550、41823、43220、45051、46591、47186、47188、47449、48513、48878、48881、49153、49335、49447、50017、50314、50417、50434、52396、52399,1763、5020、5028、5160,477、5772、9444,,,1182,80
1798,004868,何建国,教授,生命科学学院,水产学,水产保护学,,水生动物病原、免疫机理和防控技术研究,257、259、1516、1672、1688、2146、2147、2861、2875、2983、2984、3275、3665、3666、3723、5074、6277、6775、6776、6777、6792、6793、6842、8092、8138、8139、8140、8142、8199、8200、8201、8202、8203、8204、9707、10049、10051、10263、10417、10420、10431、10464、10465、10467、10471、10472、10522、10524、10525、10527、10528、10529、10534、10570、10811、10816、10821、10824、10826、10888、10889、10891、10892、12039、15137、15140、16365、16370、16371、16377、16378、16379、16621、16665、16666、16931、16935、19155、19161、19163、19364、19674、19677、23170、24240、24557、25128、25195、26115、28696、28880、29174、29330、29824、31235、31309、32524、33094、35285、35491、35494、35628、35920、36917、37125、37391、37639、37856、38451、40577、41684、42253、42272、42273、43421、43456、43487、43517、43544、43585、43626、43646、43796、43821,54、285、613、1056、2238、2273、2424、2488、3014、3183、3189、3276、3301、5159、5161、5608、6746、7122、8067、8070、8256、9483、10763、12158、12343、13523、15411、16884、17273、18343、18532、18545、18678、18680、18792、18867、19231、19349、19526、19817、19907、20077、20138、20139、20348、20380、20604、20605、21071、21718、21719、21731、21778、22848、22887、23472、23533、24253、24907、26361、26419、26447、26536、27024、27347、27376、28198、28210、28918、29229、29607、29736、32026、32139、32269、32313、32426、32428、32459、32499、32626、33359、33363、33425、33892、33893、35120、35206、35263、35293、35511、37065、37633、37940、38302、38419、39065、39220、39446、39485、39492、39725、39747、39752、39838、39927、41040、41355、41356、41508、41513、41618、41683、41958、42718、42725、42761、42787、42869、43083、43092、43093、43104、43128、43151、43344、43606、44063、44153、44383、44395、44412、44469、45248、45275、45282、45287、45560、45581、45585、45833、45836、45868、45969、46035、46037、46042、46105、46479、46480、46528、46849、46930、46980、46999、47000、47208、47248、47515、47772、47840、47887、47927、47969、48090、48166、48168、48177、48295、48385、48395、48401、48467、48471、48571、48578、48644、48722、48951、48966、49010、49031、49077、49091、49222、49229、49238、49273、49305、49318、49366、49440、51740、52085、52267、52453,76、1411、1412、1416、1423、1424、1425、1470、1471、1472、1520、1749、1750、1752、1989、1990、2569、3074、3212、3292、3802、3933、4118、4492、4509、4822、5585、5839、5892、6014、6044、6171、6288,2853、3922、3983、7060、7826、7884、7983、9325,,526、629、1083、1382、1792、2136、2357、2401、2904、3328、3606,1183,108、141
1799,812320,唐庆,副主任医师,附属第一医院,,,,整形外科,13746,20278、31155、32755、40165、44236,,,,,1748,51
1800,812428,夏之柏,主任医师,附属第一医院,,,,神经外科,26724,11757、20421、25312、28708、30410、31199、35930、36095、36434、36533、38178、38181、38709、39390、42138、42694、43758、44009、45181、45390、47242、47361、48139,,,,,3817,51
1801,812463,许元文,副主任医师,附属第一医院,,,,血净中心,3502、3528,9478、16782、17042、18251、20146、22651、27529、34054、36335、36539、38184、40470、41234、43747、44250、44260、46170,,,,,1184,51
1802,812593,陈松龄,教授,附属第一医院,,,,口腔颌面外科,2714、2715、2716、15014、15024、23510、36450,5339、24010、24855、28047、33403、34079、36307、38592、39911、42083、44955、46403、47703、49000,,,,,4432,51
1803,812646,袁宝龙,副主任医师,附属第一医院,,,,麻醉科,,27644、28072、36537、46158,,,,,1185,51
1804,133793,刘志敏,主治医师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,,,无,,22491,,,,,1186,51
1805,133802,黄圆圆,主治医师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,,,无,113、2880,4517、4613、5581、6048、7588、10116、12855、19051、21583、22725、50935,,,,,16,51
1806,135508,谭家莉,主任医师,附属口腔医院,临床医学,口腔医学,口腔正畸学,,,275、2438、3525、5322、8338、12281、13998、17362、17801、18240、20850、22154、22514、22804、26895,,3705、8538,,,1187,51
1807,815017,邓秀梅,主管护师,附属第一医院,,,,内镜中心,,,,,,,1188,51
1808,815124,伍炼红,主管护师,附属第一医院,,,,门诊办公室,,,,,,,1189,51
1809,815177,黄宇容,主管护师,附属第一医院,,,,普内科,,,,,,,1190,51
1810,815332,刘银艳,主管护师,附属第一医院,,,,内科门诊,,,,,,,1191,51
1811,815378,丁松,主管护师,附属第一医院,,,,手术麻醉中心,,37011,,,,,1192,51
1812,815496,吕洁梅,副主任护师,附属第一医院,,,,老专家、教授门诊,,,,,,,1193,51
1813,815566,吴少云,主管护师,附属第一医院,,,,心导管室,,20304,,,,,1194,51
1814,815661,刘冬兰,主管护师,附属第一医院,,,,内科门诊,,,,,,,1195,51
1815,815778,谢小英,主管护师,附属第一医院,,,,烧伤外科,,,,,,,1196,51
1816,815791,陈月媚,主管护师,附属第一医院,,,,急诊区,,,,,,,1197,51
1817,130094,韩颖,研究实习员,国际合作与交流处（港澳台事务办公室）,,,,,,,,,,,1198,78
1818,130099,付英,研究实习员,基建处,,,,,,,,,,,1199,149
1819,130154,王茂,副教授,公共卫生学院,预防医学与公共卫生学,,,环境与健康,5211、5212、5388、25391、29142、33395、36842、43722、44995,20531、23261、24528、25464、29533、32140,,,,,5951,49
1820,130218,张伟,教授,哲学系,哲学,,,欧陆哲学、现象学、伦理学,2997、18475、18477、20660、20696、21751、21752、21766、21767、21768、21769、21770、21771、21774、21775、21776、21777、21778、27425、46861、46862,22、200、1968、2569、2947、3112、3238、4328、6150、8066、8198、8300、8301、9628、11047、11115、14781、14798、15131、15779、17470、17874、18704、19296、19787、24571、26618、27077、27248、27295、27945、31591、31684、32591、32863、33063、49690、49725、49772、49798、49855、49923、50188、50404、50700、51921,,1353、1354、1355、1356,309、310、311、312、313、314、315、316、390、391、392,,794,119、121
1821,131122,许丽娟,主治医师,附属第一医院,,,,内分泌内科,32128、37113,634、770、1889、5358、13519、20282、26918、27305,,,,,647,51
1822,131150,冯黎,医师,附属第一医院,,,,神经ICU,491,2169、10607、22741,,,,,4371,51
1823,131151,王海燕,医师,附属第一医院,,,,神经ICU,492,3960、15905,,,,,4371,51
1824,131253,孙萍萍,主管药师,附属第一医院,,,,药学部,,22734,,,,,1200,51
1825,860491,邝国荣,主管技师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,肿瘤学,,无,,,,,,,1201,51
1826,860542,黎宝月,主管护师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,,,无,,,,,,,1202,51
1827,860615,黄子林,副主任医师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,肿瘤学,,无,647、15028、27033、30815、36663,2008、10370、21892、29829、33795、34305、36036、38813、39120、40530、42044、42045,,,,,1816,51
1828,860750,项认好,主管护师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,,,无,,,,,,,1203,51
1829,860760,柏艳芳,主管护师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,,,无,,4249,,,,,1204,51
1830,860764,张蓉,副主任医师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,,,无,818、38029,5258、16234、18886、30631、30748、36115、36598、38203、38647、42617、43745,,,,,271,51
1831,860790,韩峰,主任医师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,,,无,14806、40714,829、17013、17536、22487、28441、31000、31014、31021、31630、31733、32169、36122、36516、36518、36965、37412、37459、38166、38871、39165、40528、40533、42574,,,,,7487,51
1832,860872,何敏仪,主管护师,肿瘤防治中心（肿瘤医院、肿瘤研究所）,,,,无,,,,,,,1205,51
1833,150118,林莉莉,研究实习员,教务部,,,,,36414,,,1685、3427、5981、8557、8760、9123,,,1570,145
1834,820907,王菲,主管护师,孙逸仙纪念医院,,,,无,,36292,,,,,1206,51
1835,821010,梁蔚文,主管技师,孙逸仙纪念医院,,,,无,,25755、27623、27958、27984、30405、31122、32795、34004、35971、36088、39164、40613、42494、43533、45005,,,,,1207,51
1836,821119,王庄斐,副主任护师,孙逸仙纪念医院,,,,无,,30487,,,,,1208,51
1837,821183,吴少焜,副主任技师,孙逸仙纪念医院,,,,无,2023、32261,,,3157、3158,,,4213,51
1838,821216,陈清霞,副主任药师,孙逸仙纪念医院,,,,无,,,,,,,1209,51
1839,872072,贾小云,副主任技师,中山眼科中心,,,,无,156、157,20410、21624、27922、30747、31631、32847、33854、34169、36147、38663、40953、42202、43549、44753,,,,,2658,51
