其他成果id,成果名称,成果类型,日期,归属二级单位名称,成员信息,校内成员账号
341,中国新城,专著,2021-01-01,地理科学与规划学院,周春山（005588）,005588
342,活力粤港澳大湾区之经济发展,专著,2020-10-01,地理科学与规划学院,周春山（005588）、张国俊,005588
343,医学教师必读-实用教学指导,译著,2019-01-08,中山医学院,吕志跃（070061）,070061
344,人体寄生虫学,教材,2018-10-01,中山医学院,刘佩梅、吕志跃（070061）,070061
345,医学寄生虫学,教材,2021-01-01,中山医学院,汪世平、吕志跃（070061）,070061
346,瑞士债法典,译著,2019-03-01,法学院（知识产权学院、中英国际海事法学院）,于海涌（006262）,006262
347,贫困认知与贫困治理,专著,2021-12-22,政治与公共事务管理学院,庄文嘉（130284）、岳经纶（040072）、程璆（18110178）,130284、040072
348,精准扶贫战略下城乡低保目标瞄准及执行机制优化：广东经验,专著,2021-03-15,政治与公共事务管理学院,庄文嘉（130284）、岳经纶（040072）、刘洋（19110161）,130284、040072
349,2020口腔执业医师资格考试医学综合指导用书,教材,2019-11-01,,赖小敏（014031）,014031
350,医学微生物学（英文改编版，第2版）,教材,2021-03-01,中山医学院,赖小敏（014031）,014031
351,基础医学实验示范教程,教材,2020-10-01,中山医学院,赖小敏（014031）,014031
352,2022公共卫生执业医师资格考试医学综合指导用书,教材,2021-11-01,,赖小敏（014031）,014031
353,2022口腔执业医师资格考试医学综合指导用书,教材,2021-11-01,,赖小敏（014031）,014031
354, 2022临床执业医师资格考试医学综合指导用书,教材,2021-11-01,,赖小敏（014031）,014031
355,2020公共卫生执业医师资格考试医学综合指导用书,教材,2019-11-01,,赖小敏（014031）,014031
356,Medical Microbiology（医学微生物学，改编教学版）,教材,2019-08-27,中山医学院,赖小敏（014031）,014031
357,2021口腔执业医师资格考试医学综合指导用书,教材,2020-11-01,,赖小敏（014031）,014031
358,2021临床执业医师资格考试医学综合指导用书,教材,2020-11-01,,赖小敏（014031）,014031
359,2020临床执业医师资格考试医学综合指导用书,教材,2019-11-01,,赖小敏（014031）,014031
360,医学微生物学（第4版）,教材,2018-12-25,中山医学院,赖小敏（014031）,014031
361,医学微生物学（第二版）,教材,2019-08-01,中山医学院,赖小敏（014031）,014031
362,异识,译著,2022-01-31,国际翻译学院,周慧（070122）,070122
363,城市•社会•空间,编著,2020-06-01,地理科学与规划学院,边艳（10110708）、代丹丹（12110719）、周春山（005588）、童新梅（10110707）、杨高（12110720）,005588
364,中国新闻业年度观察报告2021,编著,2021-12-01,新闻传播学院,徐桂权（140226）,140226
365,晚清西学丛书（五册）,编著,2021-06-01,哲学系,梅谦立（060178）、周伟驰、姚达兑（150032）,060178
366,聖朝佐闢,编著,2018-12-15,哲学系,梅谦立（060178）、杨宏帆、赖岳山,060178
367,《修身西学今注》,编著,2019-10-01,哲学系,梅谦立（060178）、谭杰,060178
368,《中国哲学家孔夫子》（四册）,译著,2021-01-15,哲学系,梅谦立（060178）、汪聂才、齐飞智、罗莹,060178
369,"A Brief Response on the Controversies over Shangdi, Tianshen and Linghun by Niccolò Longobardo",编著,2021-08-13,哲学系,梅谦立（060178）、Daniel Canaris,060178
370,《无执之道——埃克哈特神学思想研究》（The Art of Detachment）,译著,2016-06-01,哲学系,郑淑红（180368）,180368
371,从“‘双到’扶贫”到“精准扶贫”：基于广东经验的中国扶贫之路,专著,2021-09-30,政治与公共事务管理学院,岳经纶（040072）、吴永辉（20110150）,040072
372,理解民生 社会政策调查报告选集（2020）,编著,2021-08-01,政治与公共事务管理学院,陈永杰（080071）,080071
373,广东省特困人员救助供养制度研究:供给侧改革的创新经验,专著,2021-06-01,政治与公共事务管理学院,岳经纶（040072）、庄文嘉（130284）、尤泽锋（19110162）,040072、130284
374,贫困认知与贫困治理-基于广东省的调查数据分析,专著,2021-12-01,政治与公共事务管理学院,岳经纶（040072）、庄文嘉（130284）、程璆（18110178）,040072、130284
375,《人体功能学》,教材,2021-07-01,中山医学院,谭红梅（011013）,011013
376,《病理生理学》,教材,2021-01-01,中山医学院,谭红梅（011013）,011013
377,雅克·拉康研讨班七：精神分析的伦理学,译著,2021-09-01,哲学系（珠海）,卢毅（200520）,200520
378,土木、水利与海洋工程概论,教材,2021-12-01,土木工程学院,林凯荣（070140）、戴北冰（140129）、刘建坤（180044）、涂新军（006541）、马保松（190178）、林存刚（200157）、刘智勇（170085）、黎学优（180046）、赵计辉（170258）、蔡华阳（150046）、马会环（190053）、黄维（200009）、常丹（190163）,070140、140129、180044、006541、190178、200157、170085、180046、170258、150046、190053、200009、190163
379,Encyclopedia of Ocean Engineering,编著,2021-01-16,土木工程学院,黎学优（180046）,180046
380,心血管系统与疾病,教材,2021-02-02,医学院,周丽华（013009）,013009
381,妇幼护理与保健,教材,2021-06-01,护理学院,高玲玲（019613）,019613
382,老子学集刊第五辑,编著,2021-10-01,哲学系（珠海）,邓联合（190179）,190179
383,中国瓢虫原色图鉴,专著,2009-10-01,生命科学学院,任顺祥、王兴民、庞虹（006613）、彭正强、曾涛,006613
384,中国瓢虫物种多样性及其利用,专著,2004-04-01,生态学院,庞虹（006613）、任顺祥、曾涛、庞雄飞,006613
385,恐龙时代的精灵-追寻昆虫的足迹,专著,2014-02-01,,任东、王莹、高太平、庞虹（006613）,006613
386,钟响之前 古典音乐鉴赏指南,教材,2021-12-30,艺术学院,彭奥（199684）、原嫄（190285）、张鼎（199669）,199684、190285
387,恐龙博物馆,译著,2021-07-01,生态学院,包童（200281）,200281
388,古典弦乐艺术中的小提琴教学法,教材,2021-12-01,艺术学院,原嫄（190285）、金婷婷（170121）、徐莹、彭奥（199684）、蒋琴（006745）、曹芳菱（209688）、柴琳（209686）、张鼎（199669）、李治（210503）、张海庆（190286）、冯赫（210548）、吴晓枫（012041）、张喜秋（200089）,190285、170121、199684、006745、209688、209686、210503、190286、210548、012041、200089
389,格致新机 格致新法,编著,2021-06-01,哲学系,马永康（100177）,100177
390,《现象学与心性思想》,编著,2021-12-01,哲学系,张伟（130218）,130218
391,《现象学与当代问题》,编著,2021-12-01,哲学系,张伟（130218）,130218
392,Phenomenology of Xin-Xing,编著,2021-07-01,哲学系,张伟（130218）,130218
393,西学东渐研究 第十辑,编著,2021-05-01,哲学系,马永康（100177）,100177
394,逻辑哲学论,译著,2021-07-01,哲学系,黄敏（050112）,050112
395,分析哲学导论（修订版）,教材,2021-04-01,哲学系,黄敏（050112）,050112
396,转向中的现象学运动,编著,2022-07-01,哲学系,方向红（140045）,140045
397,实践哲学评论第五辑,编著,2021-03-01,哲学系,徐长福（020126）,020126
398,梦觉之间——《庄子》思辨录,专著,2021-09-01,哲学系,陈少明（000250）,000250
399,粤港澳大湾区蓝皮书：粤港澳大湾区旅游业发展报告（2020）,编著,2021-03-01,旅游学院,徐红罡（006774）、保继刚（004495）,006774、004495
400,Eldercare Issues in China and India,编著,2022-02-15,旅游学院,彭菲（217007）、何莽（110173）、努尔买买江·库来西（20110700）,110173
401,心有其理,译著,2021-08-01,哲学系,郝亿春（100099）,100099
402,南岭历史地理研究（第四辑）,编著,2021-10-30,历史学系（珠海）,吴滔（050058）、于薇（100031）、谢湜（090026）,050058、100031、090026
403,国史家事：《致身录》与吴江黄溪史氏的命运,专著,2021-09-01,历史学系（珠海）,吴滔（050058）,050058
404,生活英语读写,教材,2021-06-03,生物医学工程学院,宋剑（200213）,200213
405,生活英语进阶,教材,2021-04-01,,宋剑（200213）,200213
406,"Advances in Artificial Intelligence, Computation, and Data Science-Medical Imaging Based Diagnosis ",专著,2021-07-13,生物医学工程学院,张俭嘉（200344）、Yan Wang、Chen Zu、Biting Yu、Lei Wang、Luping Zhou,200344
407,Humanity Driven AI-Sewer Corrosion Prediction for Sewer Network Sustainability,专著,2021-12-02,生物医学工程学院,张俭嘉（200344）、Bin Li、Xuhui Fan、Yang Wang、Fang Chen,200344
408,地方性知识研究,编著,2021-08-01,逻辑与认知研究所,鞠实儿（004035）,004035
409,《批评话语分析新发展研究》,专著,2021-09-01,外国语学院,辛斌、丁建新（020131）、钱毓芳,020131
410,日本住房规划、制度和法律,编著,2021-08-01,外国语学院,温雅、邱雅芬、邹双双（140146）,140146
411,《大学法语阅读教程1》（第2版）,教材,2021-05-01,外国语学院,曾晓阳（006602）、福德理奇·阿隆,006602
412,我是主播：在NHK的23年,译著,2021-06-01,外国语学院,国谷裕子、江晖（170194）,170194
413,功能话语研究新发展,专著,2021-11-01,外国语学院,赵蕊华（210522）,210522
414,日本古文献中的汉字词汇研究,专著,2021-04-01,外国语学院,张愚（180267）,180267
415,系统功能语言学十讲,专著,2021-10-01,外国语学院,陈瑜敏（110165）,110165
416,话语分析导论：理论与方法,译著,2021-08-01,外国语学院,何清顺（180064）,180064
417,实用康复护理实践,教材,2021-08-01,护理学院,李琨（100151）,100151
418,中国鸟类观察手册,专著,2021-01-30,生态学院,刘阳（120023）、陈水华、董路、范忠勇、苟军、关翔宇、黄瀚晨、雷进宇、钱程、王瑞卿、危骞、韦铭、闻丞、曾祥乐,120023
419,《论法律作为常识的制度化》,专著,2020-06-01,粤港澳发展研究院,叶一舟（200578）,200578
420,国家金融国际参与,教材,2021-10-01,岭南学院,王伟（180395）、张一林（180299）,180395、180299
421,中国营商环境报告（2021）,编著,2021-06-01,岭南学院,徐现祥（040093）、毕青苗（216720）、马晶（15110016）,040093
422,中国数字普惠金融热点问题评述（2020-2021）,专著,2021-07-30,岭南学院,曾燕（130226）、杨佳慧,130226
423,法定数字货币：研发趋势与应用实践,专著,2021-09-01,岭南学院,金钊（206053）、曾燕（130226）,130226
424,数字平台企业发展案例研究,专著,2021-06-30,岭南学院,曾燕（130226）、刘玲（20210025）,130226
425,宏观经济学与中国政策,教材,2020-07-01,,颜色、郭凯明（160201）,160201
426,地方干部与资源配置,专著,2020-09-01,岭南学院,罗党论（100140）,100140
427,新三板:学术研究与价值投资,编著,2018-05-01,岭南学院,罗党论（100140）,100140
428,"Amphiphilic Polymer Co-networks : Synthesis, Properties, Modelling and Applications",专著,2020-07-01,材料科学与工程学院,付俊（190229）,190229
429,Advanced Topological Insulators,专著,2019-06-01,材料科学与工程学院,罗惠霞（160281）,160281
430,"Phosphor Handbook, 3rd Edition",编著,2022-01-31,材料科学与工程学院,刘伯梅（206868）、黄霖（196550）、宣曈曈、王静（040085）,040085
431,Three-Dimensional Carbon Architectures for Energy Conversion and Storage,编著,2021-01-01,材料科学与工程学院,石铠源（200024）,200024
432,柚皮苷人体药代动力学方法学研究与群体药代动力学模型的构建,专著,2021-11-01,生命科学学院,苏薇薇（006654）、白杨（149033）、彭维（069063）、吴灏（207079）、曾璇（196539）,006654
433,柚皮苷防治DPM所致COPD的作用及机制研究,专著,2021-11-01,生命科学学院,苏薇薇（006654）、师瑞（186439）、吴灏（207079）、王永刚（020144）,006654、020144
434,Microbial Communities and their Interactions in the Extreme Environment,编著,2021-10-10,生命科学学院,Dilfuza Egamberdieva、Nils-Kåre Birkeland、李文均（140030）、Hovik Panosyan,140030
435,RNA干扰--从基因功能到生物农药,编著,2021-06-01,生命科学学院,张文庆（004907）、王桂荣,004907
436,Plant Circular RNAs ,编著,2021-07-01,生命科学学院,陈月琴（006432）,006432
437,生命科学中的电子显微学技术（第三章第9节）,编著,2021-07-01,生命科学学院,张勤奋（006073）,006073
438,国家海水鱼产业技术体系年度报告,编著,2021-12-13,生命科学学院,刘晓春（006349）、李安兴（006790）,006349、006790
439,国家海水鱼产业技术体系年度报告,编著,2020-12-01,生命科学学院,刘晓春（006349）、李安兴（006790）,006349、006790
440,国家海水鱼产业技术体系年度报告,编著,2019-12-13,生命科学学院,刘晓春（006349）、李安兴（006790）,006349、006790
441,国家金融内外联动,教材,2021-11-18,国际金融学院,周天芸（005653）,005653
442,国家金融政策组合,编著,2021-10-01,国际金融学院,邓贵川（210554）,210554
443,《战略品牌管理》中国版,教材,2021-07-13,国际金融学院,Kevin Lane Keller、王海忠（050111）、陈增祥（170053）,050111、170053
444,飞镖运动,专著,2021-11-09,,唐新发、郑建民（014063）、冯伯权、吴俊鹏、宋军,014063
445,中国医疗保障基金监督管理,编著,2021-12-01,公共卫生学院,黄奕祥（015250）、朱派毅（18214293）、陈胜亮（21214353）、靳思慧（21214355）,015250
446,物理性环境有害因素健康损害及风险评估,编著,2021-09-01,公共卫生学院,董光辉（140011）、胡立文（180403）,140011、180403
447,丹红注射液化学物质基础药效及作用机制研究,专著,2021-04-01,生命科学学院,苏薇薇（006654）、毕聪（16212708）、刘宏（176256）、李泮霖（167335）、廖奕秋、吴灏（207079）、易京、王永刚（020144）、李沛波（040101）、姚宏亮,006654、020144、040101
448,中药大品种生发片质量再评价研究,专著,2021-09-01,生命科学学院,苏薇薇（006654）、刘步鸣、姚宏亮、郭雄、彭维（069063）、柴玲、王永刚（020144）、幸林广、张亚莉、刘颖、谢诗婷（198179）、司徒文辉（158100）,006654、020144
449,复方血栓通胶囊作用机制的创新研究,专著,2021-06-01,生命科学学院,苏薇薇（006654）、刘宏（176256）、龙超峰、姚宏亮,006654
450,珍珠母蛋白N16抗骨质疏松的研究,专著,2021-05-01,生命科学学院,苏薇薇（006654）、李沛波（040101）、马洁仪、徐祯彦、林嘉碧、王永刚（020144）、刘玉铃（19110510）、吴灏（207079）、彭维（069063）、姚宏亮,006654、040101、020144
451,中药柏子仁醇提物抗抑郁药效及作用机制研究,专著,2021-07-01,生命科学学院,苏薇薇（006654）、鄢黎（177275）、王佳伟（13110569）、李沛波（040101）、刘博宇（11212649）,006654、040101
452,中药国际化的实践：化橘红美国药典标准的起草,专著,2021-07-01,生命科学学院,苏薇薇（006654）、李泮霖（167335）、苏畅、彭维（069063）、廖奕秋,006654
453,临床试验知识考核题例及解析,编著,2021-11-01,肿瘤防治中心（肿瘤医院、肿瘤研究所）,曹烨（860233）、陈雯（130278）、李杰,860233、130278
454,统计学,教材,2021-10-31,岭南学院,夏南新（005629）,005629
455,海洋溢油光学遥感原理与应用实践,专著,2021-06-01,,陆应诚、刘建强、丁静、孙绍杰（190132）,190132
456,简明数理逻辑,教材,2021-11-20,逻辑与认知研究所,赵希顺（006827）,006827
457,博弈、协调与社会发展：协调经济学导论,专著,2005-07-15,岭南学院,朱富强（020031）,020031
458,中国非物质文化遗产保护发展报告（2020）,编著,2021-06-30,中国非物质文化遗产研究中心,宋俊华（020067）,020067
459,有效劳动价值论的现实阐释,专著,2006-06-15,岭南学院,朱富强（020031）,020031
460,新三板：企业浮沉与制度反思,编著,2018-05-31,岭南学院,罗党论（100140）、王晓萍,100140
461,互联网金融,教材,2016-11-11,岭南学院,罗党论（100140）,100140
462,中唐时期的空间想象,译著,2021-05-01,中国语言文学系（珠海）,王治田（200152）,200152
463,人民币汇率变动的产业结构调整效应,专著,2014-06-01,岭南学院,陈平（004851）、谭秋梅（06110008）,004851
464,经济学说史——思想发展与流派渊源,教材,2013-10-15,岭南学院,朱富强（020031）,020031
465,博弈论,教材,2013-06-15,岭南学院,朱富强（020031）,020031
466,有效劳动价值论：以协调洞悉劳动配置,专著,2004-12-15,岭南学院,朱富强（020031）,020031
467,合作的文明：“为己利他”行为机理与社会规范,专著,2020-05-15,岭南学院,朱富强（020031）,020031
468,协作的策略：“为己利他”行为机理与博弈思维,专著,2020-05-15,岭南学院,朱富强（020031）,020031
469,数理逻辑批判：经济学的建模和计量,专著,2020-12-15,岭南学院,朱富强（020031）,020031
470,经济分析的行为基础：现代经济学的硬核批判,专著,2020-05-15,岭南学院,朱富强（020031）,020031
471,关注“人”的经济学：现代经济学的路向批判,专著,2020-05-15,岭南学院,朱富强（020031）,020031
472,《广东流动图书馆16年》,编著,2020-12-01,信息管理学院,潘燕桃（004645）,004645
473,科学2.0时代科研人员学术交流行为研究,专著,2021-11-01,信息管理学院,李晶（190098）,190098
474,数字档案馆与信息技术,教材,2021-09-01,信息管理学院,徐健（030086）,030086
475,分布式实时系统-理论与实践,译著,2022-01-01,计算机学院（软件学院）,蔡国扬（004788）,004788
476,Bioinformatics Research and Applications ,专著,2021-11-18,计算机学院（软件学院）,刘翔宇（20215175）、余超（190186）、黄旗凯、王陆豪（211128）、吴健锋（041015）、管向东（812528）,190186、041015、812528
477,Restless Multi-Armed Bandit in Opportunistic Scheduling,专著,2021-08-01,计算机学院（软件学院）,Kehao Wang、陈林（190127）,190127
478,Blockchain and Trustworthy Systems,编著,2019-12-07,计算机学院（软件学院）,郑子彬（140036）、Hong-Ning Dai、唐明董、陈湘萍（100174）,140036、100174
479,Safety of Sodium-cooled Fast Reactors: Particle-bed-related Phenomena in Severe Accidents,专著,2022-10-28,中法核工程与技术学院,成松柏（150029）、徐锐聪（19214059）,150029
480,钠冷快堆严重事故中颗粒床相关现象机理研究,专著,2022-05-01,中法核工程与技术学院,成松柏（150029）、徐锐聪（19214059）,150029
481,海洋条件下的核反应堆热工水力分析,专著,2018-09-30,中法核工程与技术学院,鄢炳火（160192）,160192
482,公共图书馆服务创新战略研究报告,编著,2021-12-12,信息管理学院,肖鹏（190516）,190516
483,异类中行：方以智的思想世界,专著,2021-10-01,哲学系,张永义（005592）,005592
484,The chemistry of Nitrate Radical (NO3) and Dinitrogen Pentoxide (N2O5) in Beijing,专著,2021-01-01,,王海潮（200022）,200022
485,北京大气NO3自由基和N2O5的化学机制研究,专著,2021-02-01,大气科学学院,王海潮（200022）,200022
486,Global Drought and Flood,专著,2021-08-09,大气科学学院,吴欢（160244）、 Qiuhong Tang、Philip J. Ward、Dennis P. Lettenmaie,160244
487,张爱玲传（修订本）,专著,2021-08-01,中国语言文学系,张均（020063）,020063
488,非物质文化遗产保护标准资料汇编,编著,2021-11-30,中国非物质文化遗产研究中心,王霄冰（100051）、胡玉福,100051
489,明传奇佚曲全编,专著,2021-03-01,中国语言文学系,陈志勇（130083）,130083
490,汉语语言学（第二辑）,编著,2021-12-01,中国语言文学系,林华勇（100126）,100126
491,汉语语言学（第一辑）,编著,2021-09-01,中国语言文学系,黄燕旋（220525）、林华勇（100126）,220525、100126
492,散文中的心事,专著,2021-12-01,中国语言文学系,谢有顺（060026）,060026
493,百家点评人间词话,编著,2017-11-30,中国语言文学系（珠海）,邓菀莛（210512）,210512
494,汉语字词关系研究（二）,专著,2021-10-01,中国语言文学系,陈斯鹏（050155）,050155
495,古诗古剧古乐古文化新探,专著,2021-12-01,中国语言文学系,黎国韬（050091）,050091
496,康乐如斯——中山大学卷,编著,2021-09-01,中国语言文学系,郭冰茹（006739）,006739
497,新时代高校思想政治理论课前沿问题研究,专著,2021-03-01,马克思主义学院,王仕民（005730）、吴晓斐,005730
498,中国梦价值认同论,专著,2021-05-01,马克思主义学院,詹小美（005150）,005150
499,大洋洲蓝皮书2020,编著,2021-02-01,国际关系学院,李骏（180726）,180726
500,新时代高校思想政治理论课体系创新研究,专著,2021-03-01,马克思主义学院,王仕民（005730）、丁存霞（220546）,005730、220546
501,新时代高校思想政治理论课发展战略研究,专著,2021-03-01,新闻传播学院,王仕民（005730）、葛彬超（120190）,005730、120190
502,分科的学史与分科的历史第二章,编著,2021-05-01,马克思主义学院,朱贞（180387）,180387
503,北斗在高精度定位领域中的应用,专著,2016-04-01,地理科学与规划学院,夏林元（070014）、鲍志雄、李成钢（156044）、金永新、李倩霞（15110726）,070014
504,地理学国际实习教程——瑞士-上莱茵河谷地理综合实习,教材,2021-11-01,地理科学与规划学院,薛德升（006028）、刘晨（170086）、瑞塔·施耐德-斯利华（Rita Schneider-Sliwa）,006028、170086
505,地理学国际实习教程——德国地理综合实习,教材,2021-11-01,地理科学与规划学院,薛德升（006028）、刘晔（160217）、苏迪德（Dietrich Soyez）、李子枫（226369）,006028、160217
506,地理学国际实习教程——荷兰-比利时地理综合实习,教材,2021-11-01,地理科学与规划学院,薛德升（006028）、黄旭（167378）、杨·范·维斯普（Jan van Weesep）,006028
507,Climate effects of the Tibetan Plateau. Climate changes in Southeast Asia and Surrounding Areas. ,专著,2021-01-01,大气科学学院,王子谦（190530）、魏维（200547）、杨崧（130001）、鲁萌萌（17110932）,190530、200547、130001
508,Indian Summer Monsoon: El Niño Teleconnections and Beyond,专著,2021-08-16,大气科学学院,魏维（200547）、杨崧（130001）,200547、130001
509,"Air Pollution, Climate, and Health",专著,2021-04-14,大气科学学院,卢骁（210059）,210059
510,冰冻圈化学,专著,2021-06-01,,康世昌、黄杰、牟翠翠	、张玉兰	、徐建中	、杜文涛	、丛志远	、马明	、张强弓	、李潮流	、吉振明（160259）、刘勇勤	、刘亚平	,160259
511,南亚污染物跨境传输及其对青藏高原环境影响评估报告 ,专著,2021-08-05,,康世昌、丛志远	、王小萍	、张凡	、张强弓	、陈鹏飞	、龚平	、黄杰	、吉振明（160259）、李潮流	、刘彬	、曲斌	、史晓楠	、万欣	、王传飞	、王冠星	、武广明	、徐柏青	、徐建中	、杨俊华	、殷秀峰	、曾辰	、张宏波	、张玉兰	,160259
512,翻译专长与翻译的不确定性管理过程,专著,2016-10-01,外国语学院,邓志辉（006417）,006417
513,岩石水平定向钻工程,教材,2021-01-01,土木工程学院,马保松（190178）,190178
514,气候变化背景下流域干旱模拟与评估,专著,2021-12-01,土木工程学院,段凯（180146）,180146
515,过程与动力装备部件的流致振动：实用工作手册,译著,2020-12-31,中法核工程与技术学院,姜乃斌（190308）,190308
516,"Drifting Skandhas: A Philosophical, Artistic and Literary Commentary on the Heart Sutra",译著,2022-01-01,外国语学院,邓志辉（006417）,006417
517,薛定谔方程,译著,2022-02-01,计算机学院（软件学院）,邱道文（020165）、周旭（17110885）,020165
518,媒介文化与当代生活境遇,专著,2019-05-01,马克思主义学院,葛彬超（120190）,120190
519,马克思主义时代化一百年,编著,2021-06-30,马克思主义学院,林进平（180728）、张浩（190221）、罗嗣亮（100154）、常莉（190352）、朱亚坤（180386）、袁伟（200194）,180728、190221、100154、190352、180386、200194
520,流行范式批判：经济学的庸俗化取向,专著,2020-08-01,岭南学院,朱富强（020031）,020031
521,真实市场的逻辑：市场主体的特性解析,专著,2020-06-15,岭南学院,朱富强（020031）,020031
522,香港社团：理论与实务,编著,2019-02-01,粤港澳发展研究院,钟晓慧（200582）、霍伟东（216062）,200582
523,从修身到工夫：儒家内圣学的开显与转折,专著,2021-03-01,哲学系,陈立胜（004914）,004914
524,Python程序设计基础--程序设计三步法,教材,2021-12-01,计算机学院（软件学院）,乔海燕（040190）、周晓聪（005875）,040190、005875
525,马克思主义启蒙与广东的共产党早期组织研究,专著,2021-06-16,马克思主义学院,柳媛（006266）,006266
526,历史唯物主义的最初表达——《1844年经济学哲学手稿》释读,专著,2021-11-26,马克思主义学院,黄学胜（200050）,200050
527,岭南文化与广东学校德育建设研究,专著,2021-10-01,马克思主义学院,石德金（110127）、曾志浩、谷曼,110127
528,广东学校的革命文化传承与发展研究,专著,2021-11-30,马克思主义学院,龙柏林（040090）,040090
529,新时代高校思想政治理论课教学方法研究,专著,2021-03-03,人文社会科学处,王仕民（005730）、欧阳永忠（005750）、李丽（180388）、徐丽葵（17110308）,005730、005750、180388
530,护理管理学（案例版）,教材,2020-01-01,护理学院,张俊娥（019617）,019617
531,Advances in Stem Cells and their Niches,专著,2017-07-01,中山医学院,B.O. Zhou、L. Li、赵萌（160014）,160014
532,况周颐与晚清民国词学,专著,2021-05-01,中国语言文学系,彭玉平（005939）,005939
533,基于频谱特征的自适应检测识别与干扰鉴别,译著,2021-07-01,电子与通信工程学院,谢恺（190314）,190314
534,众核处理器—原理、设计与优化,专著,2021-02-01,微电子科学与技术学院,李兆麟、王明羽（200276）、魏少军,200276
535,“我”与马克思：国外学者访谈录,编著,2021-03-01,马克思主义学院,方珏（190220）,190220
536,回归本觉——净影寺慧远的真识心缘起思想研究,专著,2021-03-01,哲学系,冯焕珍（005770）,005770
537,音乐术语多语词典,专著,2021-11-01,,王晓鹰（183479）、刘焱、关念红（830362）、陈功、彭学杰、原嫄（190285）、甘照宇（831211）、魏钦令（831223）、陶炯（830370）、吴小立（043020）、戴敏（831233）、韩洪瀛（163002）、王相兰（215353）、杨宏志（830613）,183479、830362、190285、831211、831223、830370、043020、831233、163002
538,基于毒作用模式的典型环境污染物风险评估,专著,2021-11-01,公共卫生学院,王庆（070163）,070163
539,中华医学百科全书-流行病学,编著,2021-08-01,公共卫生学院,陈维清（014044）,014044
540,Ageing and Effecting Long-term Care in CHINA,专著,2021-12-20,公共卫生学院,张慧（120279）,120279
541,分子毒理学 第2版,教材,2021-09-07,公共卫生学院,王庆（070163）,070163
542,Blockchain and AI Technology in the Industrial Internet of Things,编著,2021-01-01,,Subhendu Kumar Pani、Sian Lun Lau、刘星成（004515）,004515
543,协同育人研究与实践——海洋大讲堂进中学与我的母校系列（2018）,编著,2019-01-01,海洋科学学院,陈省平（006261）、潘云智（070174）、刘亚婷（159156）、唐丽丽（188277）、韩墨香（130118）、李颖（170313）、林奇琦（180358）,006261、070174、130118、170313
544,协同育人研究与实践——海洋科学学院班主任活动系列（2018）,编著,2019-05-01,海洋科学学院,陈省平（006261）、潘云智（070174）、李颖（170313）、林奇琦（180358）、唐丽丽（188277）、刘亚婷（159156）,006261、070174、170313
545,协同育人研究与实践——海洋科学学院优秀学子系列（2018）,编著,2019-04-01,海洋科学学院,陈省平（006261）、潘云智（070174）、李颖（170313）、林奇琦（180358）、唐丽丽（188277）、刘亚婷（159156）,006261、070174、170313
546,协同育人研究与实践——海院师说系列（2019）,编著,2020-05-01,海洋科学学院,陈省平（006261）、林奇琦（180358）,006261
547,协同育人研究与实践——海洋科学学院优秀学子系列（2019）,编著,2020-07-01,海洋科学学院,陈省平（006261）、林奇琦（180358）,006261
548,协同育人研究与实践——“我的母校”实践育人系列（2019）,编著,2020-08-01,海洋科学学院,陈省平（006261）、林奇琦（180358）,006261
549,生物化学,教材,2020-12-01,中山医学院,周倜（130242）,130242
550,Aera-Wide Integrated Pest Management: Development and Field Application,编著,2021-01-01,,张东京（200538）,200538
551,医药计算机教改论文荟萃,编著,2021-11-01,,章新友、杨长兴、夏 翃、肖 峰、车立娟、周毅（014179）,014179
552,艺术学原理,教材,2021-07-01,,罗成（110154）,110154
553,《唐宋岭南诗人题詠岭南风物诗汇编、笺校》,编著,2021-12-01,中国语言文学系,杨权（004073）,004073
554,The origin of cattle in China from the Neolithic to the Early Bronze Age,专著,2022-12-30,社会学与人类学学院,余翀（200518）,200518
555,地中海城记,专著,2021-03-01,社会学与人类学学院,周繁文（120243）,120243
556,木材的流动：清代清水江下游地区的市场、权力与社会,专著,2021-10-01,历史人类学研究中心,张应强（005134）,005134
557,点校本二十四史修订本《陈书》,编著,2021-08-01,历史学系,景蜀慧（020023）、周文俊（220544）、李丹婕（200531）,220544、200531
558,《艺术史研究》第21辑,编著,2019-12-01,历史学系,向群（005605）,005605
559,《国家与文化领导权》,专著,2021-12-15,人文社会科学处,肖文明（130211）,130211
560,粤港澳服务贸易自由化：行业专项、区域试点、政策实践,编著,2022-03-01,粤港澳发展研究院,张光南（100135）、陈兆凌（17110003）、钟俏婷（197060）,100135
561,神经系统可治性罕见病,专著,2021-03-01,,张成（812540）、何丹（161104）、梁颖茵（819106）、郑卉、张誉、李秋玲、卢奎、利婧（121142）、倪冠中（151078）、吴超（151077）、张惠丽、杨娟、李亚勤（791504）、何若洁（221013）、李欢（216339）、林金福（17111039）、廖子钰（18215622）、张赫娱（196528）、王倞（206489）,121142
562,Network Pharmacology（英文版）（第9章：Drug-Disease-Based Network Pharmacology Practice Process）,编著,2021-01-01,,李梢、苏薇薇（006654）、李泮霖（167335）,006654
563,柚皮素对呼吸道张力收缩、浆液分泌的调控作用及肺部给药的成药性研究,专著,2021-12-01,生命科学学院,苏薇薇（006654）、关敏怡（206858）、师瑞（186439）、王永刚（020144）、吴灏（207079）,006654、020144
